uniprot_id,gene,PC1_loading,PC2_loading,compartment
A0A8I5ZWS4,Hook3,-0.01933,-0.02393,Cytoskeleton
A0A8I5ZWY4,Ado,-0.00281,0.01477,Mitochondrion
A0A8I5ZX74,Bcap31,-0.02067,0.00803,Mitochondrion
A0A8I5ZX76,Eif3k,0.02518,0.00735,Other
A0A8I5ZXE0,Dido1,0.00426,-4.1e-4,Cytoskeleton
A0A8I5ZXL0,Tra2a,0.01693,0.0195,Nucleus
A0A8I5ZXP5,U2surp,0.00849,-0.01592,Nucleus
A0A8I5ZXU0,Mtrex,-0.00821,0.01456,Nucleus
A0A8I5ZXX2,Kdm3b,-0.00811,0.00353,Nucleus
A0A8I5ZY32,Ehbp1l1,-0.02104,-0.02187,Other
A0A8I5ZY35,Cct6a,-7.3e-4,0.02058,Cytoskeleton
A0A8I5ZYG1,Osbpl5,-0.00325,-0.02114,Nucleus
A0A8I5ZYH1,Pcbp4,0.01138,-0.00466,Other
A0A8I5ZYJ9,Sec63,0.0015,-0.01749,Nucleus
A0A8I5ZYK4,Ift27,-0.00455,0.00223,Cytoskeleton
A0A8I5ZYT7,ENSRNOG00000065543,0.00511,-0.008,Other
A0A8I5ZYV7,Mrpl21,-0.01536,-0.0101,Mitochondrion
A0A8I5ZYW3,Lsp1,-0.00816,0.00942,Cytoskeleton
A0A8I5ZYZ8,Ube2m,0.0116,0.02875,Nucleus
A0A8I5ZZ84,Sgsh,-4.5e-4,-0.00151,Other
A0A8I5ZZ93,Ptrh2,-0.01014,-0.0136,Mitochondrion
A0A8I5ZZG2,Reep3,-0.01535,0.00161,Cytoskeleton
A0A8I5ZZM0,Hectd4,0.00709,-0.00421,Other
A0A8I5ZZM2,Atf7,-0.0049,0.03201,Nucleus
A0A8I6A0C3,Ppp2r5c,0.00885,3.7e-4,Nucleus
A0A8I6A0I3,Eif4ebp2,-0.01877,-0.00107,Other
A0A8I6A0T3,Sik3,-0.00436,0.00866,Other
A0A8I6A0T8,Serpinb9,0.02455,0.01731,Other
A0A8I6A0W6,Ube2o,-0.0125,0.02291,Nucleus
