contrast,database,pathway,label,NES,pval,padj,size,dedup_kept,leadingEdge
PC1,Reactome,REACTOME_VEGFR2_MEDIATED_VASCULAR_PERMEABILITY,Vegfr2 Mediated Vascular Permeability,1.016,0.438,0.626,13,TRUE,Ctnnb1;Rac1
PC1,Reactome,REACTOME_VESICLE_MEDIATED_TRANSPORT,Vesicle Mediated Transport,-1.198,0.108,0.233,162,FALSE,Cltb;Col3a1;Sparc;Col1a1;Arfgap1;Vamp3;Arfgap3;Cttn;Sptan1;Bin1;Kif5b;Hyou1;Stam;Preb;Golga4;Klc1;Col1a2;Uso1;Ubqln1;Ap3s1;Picalm;Grk2;Stam2;Tjp1;Ldlr;Clta;Lman1;Hspa8;Vps4b;Agfg1;Wasl;Dctn4;Napg;Lrp1;Stx4;Trip10;Rabgap1;Tpd52;M6pr;Snap23;Vamp8;Rab14;Calr
PC2,Reactome,REACTOME_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT,Abc Family Proteins Mediated Transport,-0.722,0.897,1,27,FALSE,Abca9;Psmd7;Psma1;Psmd8;Psmd14;Psma4;Psmd3;Psmd13;Psma7;Eif2s1;Psmb2
PC2,Reactome,REACTOME_ACTIVATION_OF_ANTERIOR_HOX_GENES_IN_HINDBRAIN_DEVELOPMENT_DURING_EARLY_EMBRYOGENESIS,Activation Of Anterior Hox Genes In Hindbrain Development During Early Embryogenesis,0.695,0.876,1,13,TRUE,Rbbp7;Polr2k;Ctcf;H2ax;Polr2h
PC2,Reactome,REACTOME_ACTIVATION_OF_ATR_IN_RESPONSE_TO_REPLICATION_STRESS,Activation Of Atr In Resp. to Replication Stress,-1.003,0.438,0.922,13,FALSE,Mcm3;Rfc2;Mcm2;Rfc3
PC2,Reactome,REACTOME_ACTIVATION_OF_BAD_AND_TRANSLOCATION_TO_MITOCHONDRIA,Activation Of Bad & Translocation To Mitochondria,1.023,0.424,0.922,10,FALSE,Ywhaq;Ywhaz
PC2,Reactome,REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,Activation Of Nf Kappab In B Cells,0.566,0.982,1,30,FALSE,Cul1;Psmd1;Nfkb1
PC2,Reactome,REACTOME_ACTIVATION_OF_NMDA_RECEPTORS_AND_POSTSYNAPTIC_EVENTS,Activation Of Nmda Receptors & Postsynaptic Events,1.158,0.25,0.771,16,FALSE,Prkab1;Rps6ka3;Prkar2b
PC2,Reactome,REACTOME_ADAPTIVE_IMMUNE_SYSTEM,Adaptive Immune System,1.174,0.134,0.624,155,FALSE,Prkab1;Rbbp7;Cul5;Ywhaz;Raf1;Dynll2;Cul1;Csk;Nedd4l;Kif2a;Ap2m1;Calr;Psmd1;Kifap3;Nfkb1;Dad1;Ubac1;Ago2;Cdc34;Csnk2b;Evl;Cd81;Ostc;Cltc;Canx;Sos1;Grb2;Psmc6;Itgb5;Plcg1;Fbxo6;Ube2n;Ap2s1;Akt2;Ctsl;Ube2j1;Vhl;Capzb;Dync1h1;Lgmn;Sar1b;Kif3b;Smurf1;Tuba3a;Adrm1;Ctnnb1;Src;Psmd12;Psmc4;Nck1;Dctn4;Vamp3;H2ax;Sec61a1;Psmc3;Tubb2a;Kif4a;Klc1;Tnrc6b;Bcap31;Psme2;Ikbkb;Prkag1;Col3a1
PC2,Reactome,REACTOME_ADIPOGENESIS,Adipogenesis,1.708,0.0207,0.492,13,TRUE,Hdac2;Rbbp7;Hdac1;Nfkb1;Med24;Hnrnpu;Mta1;Lpl
